epoch,step,train/loss,train/reward,val/reward
0,0,,,inf
1,1,,,inf
2,2,,,inf
3,3,,,inf
4,4,,,inf
5,5,,,inf
6,6,,,inf
7,7,,,inf
8,8,,,inf
9,9,,,inf
10,10,,,inf
11,11,,,inf
12,12,,,inf
13,13,,,inf
14,14,,,inf
15,15,,,inf
16,16,,,inf
17,17,,,inf
18,18,,,inf
19,19,,,inf
20,20,,,inf
21,21,,,inf
22,22,,,inf
23,23,,,inf
24,24,,,inf
25,25,,,inf
26,26,,,inf
27,27,,,inf
28,28,,,inf
29,29,,,inf
30,30,,,inf
31,31,,,inf
32,32,,,inf
33,33,,,inf
34,34,,,inf
35,35,,,inf
36,36,,,inf
37,37,,,inf
38,38,,,inf
39,39,,,inf
40,40,,,inf
41,41,,,inf
42,42,,,inf
43,43,,,inf
44,44,,,inf
45,45,,,inf
46,46,,,inf
47,47,,,inf
48,48,,,inf
49,49,nan,inf,
49,49,,,inf
50,50,,,inf
51,51,,,inf
52,52,,,inf
53,53,,,inf
54,54,,,inf
55,55,,,inf
56,56,,,inf
57,57,,,inf
58,58,,,inf
59,59,,,inf
60,60,,,inf
61,61,,,inf
62,62,,,inf
63,63,,,inf
64,64,,,inf
65,65,,,inf
66,66,,,inf
67,67,,,inf
68,68,,,inf
69,69,,,inf
70,70,,,inf
71,71,,,inf
72,72,,,inf
73,73,,,inf
74,74,,,inf
75,75,,,inf
76,76,,,inf
77,77,,,inf
78,78,,,inf
79,79,,,inf
80,80,,,inf
81,81,,,inf
82,82,,,inf
83,83,,,inf
84,84,,,inf
85,85,,,inf
86,86,,,inf
87,87,,,inf
88,88,,,inf
89,89,,,inf
90,90,,,inf
91,91,,,inf
92,92,,,inf
93,93,,,inf
94,94,,,inf
95,95,,,inf
96,96,,,inf
97,97,,,inf
98,98,,,inf
99,99,nan,inf,
99,99,,,inf
