epoch,step,test/reward,train/loss,train/reward,val/reward
0,49,,1.12480890750885,-6.788087844848633,
0,99,,-0.08815328776836395,-6.431427001953125,
0,149,,0.05231685936450958,-6.188939094543457,
0,195,,,,-5.801388263702393
1,199,,-3.162529468536377,-6.055195331573486,
1,249,,-1.2966562509536743,-5.878237724304199,
1,299,,-0.1888578236103058,-5.778322696685791,
1,349,,0.14029693603515625,-5.709249019622803,
1,391,,,,-5.525829792022705
2,399,,-1.8856910467147827,-5.686969757080078,
2,449,,-1.4920787811279297,-5.614995002746582,
2,499,,-0.9876598119735718,-5.629204750061035,
2,549,,-1.5848121643066406,-5.634387969970703,
2,587,,,,-5.410865783691406
3,588,-5.409716606140137,,,
